#
#stat 1 2 3 4 5
#AVG 1.52  -0.496363636363637  3.30272727272727  2.20454545454545  -1.54818181818182
#STDDEV 1.19949989578991  1.62072374405555  2.82814105344515  4.61810862504633  3.71881921631536

#layer	improvement	stdev	error
#1	1.52	1.19949989578991	0.599749947894955
#2	-0.496363636363637	1.62072374405555	0.810361872027775
#3	3.30272727272727	2.82814105344515	1.414070526722575
#4	2.20454545454545	4.61810862504633	2.309054312523165
#5	-1.54818181818182	3.71881921631536	1.85940960815768

#stat    1-en-layer 2-en-layer 3-en-layer 4-en-layer 5-en-layer
#AVG 1.33340575	-0.481952000000001	3.03230608333333    2.01983825   -1.4133655
#STDEV   1.31370048702006	1.54610567438816	2.85460814025777	4.44944004560251	3.57637858568887

#dl. de gen. 21 22:16:32 GMT 2019
#layer	improvement	stdev	error
1	1.33340575	1.31370048702006	0.65685024351003
2	-0.481952000000001	1.54610567438816	0.77305283719408
3	3.03230608333333	2.85460814025777	1.427304070128885
4	2.01983825	4.44944004560251	2.224720022801255
5	-1.4133655	3.57637858568887	1.788189292844435
