#stat 1 2 3 4 5
#AVG 1.01636363636364  -0.044545454545457  3.31181818181818  6.53727272727273  4.74090909090909
#STDDEV 1.27189836643714  1.83319591771509  1.67685311331564  5.39107427310938  4.35901469266956

#layer	improvement	stdev	error
#1	1.01636363636364	1.27189836643714	0.63594918321857
#2	-0.044545454545457	1.83319591771509	0.916597958857545
#3	3.31181818181818	1.67685311331564	0.83842655665782
#4	6.53727272727273	5.39107427310938	2.69553713655469
#5	4.74090909090909	4.35901469266956	2.17950734633478

#stat    1-en-layer 2-en-layer 3-en-layer 4-en-layer 5-en-layer
#AVG 0.937054999999999	-0.029326250000002	3.04856833333333	5.99227775	4.35100991666667
#STDEV 1.24343790426163	1.74867864712334	1.84060334367854	5.47592578735777	4.37011453179413


#dl. de gen. 21 22:15:34 GMT 2019
#layer	improvement	stdev	error
1	0.937054999999999	1.24343790426163	0.621718952130815
2	-0.029326250000002	1.74867864712334	0.87433932356167
3	3.04856833333333	1.84060334367854	0.92030167183927
4	5.99227775	5.47592578735777	2.737962893678885
5	4.35100991666667	4.37011453179413	2.185057265897065
