#layer	improvement	stdev	error
1	-2.79285714285714	3.22738652930259		1.61369326465129500000
2	-1.65857142857143	1.15386926716777	0.57693463358388500000
3	4.24	5.14593690853927	2.57296845426963500000
4	4.4	3.91237353363232	1.95618676681616000000
5	-1.55714285714286	1.53996443991102	0.76998221995551000000
