#LANG	FROZEN	FINE_TUNED
1	sl	5.82	8.00	2.18
2	ga	4.61	6.85	2.24
3	cv	12.87	20.89	8.02
4	br	3.75	5.48	1.73
5	tr	1.68	7.11	5.43
6	it	2.75	7.28	4.53
7	cy	2.58	5.40	2.82
8	tt	5.24	6.19	0.95
9	ca	1.57	4.18	2.61
10	fr	0.03	0.14	0.11
11	kab	0.31	0.84	0.53
12	de	0.07	0.15	0.08
